Class,Xstreams,Threads,Time(s),Time(nanos),Status
S,1,1,.03000000000000000000,26641000.00000000000000000000,SUCCESSFUL
S,2,2,.09000000000000000000,45001333.33333333333333333333,SUCCESSFUL
S,4,4,.20666666666666666666,51694000.00000000000000000000,SUCCESSFUL
S,7,7,.42000000000000000000,60212000.00000000000000000000,SUCCESSFUL
S,8,8,.53333333333333333333,66472333.33333333333333333333,SUCCESSFUL
S,14,14,1.33666666666666666666,95485666.66666666666666666666,SUCCESSFUL
S,28,28,6.22666666666666666666,223272666.66666666666666666666,SUCCESSFUL
W,1,1,.17666666666666666666,179639000.00000000000000000000,SUCCESSFUL
W,2,2,.20000000000000000000,99959333.33333333333333333333,SUCCESSFUL
W,4,4,.23333333333333333333,58607333.33333333333333333333,SUCCESSFUL
W,7,7,.35666666666666666666,51185333.33333333333333333333,SUCCESSFUL
W,8,8,.43666666666666666666,54216000.00000000000000000000,SUCCESSFUL
W,14,14,1.09333333333333333333,78352000.00000000000000000000,SUCCESSFUL
W,28,28,6.14666666666666666666,219668000.00000000000000000000,SUCCESSFUL
A,1,1,.74666666666666666666,746942666.66666666666666666666,SUCCESSFUL
A,2,2,.81333333333333333333,405753000.00000000000000000000,SUCCESSFUL
A,4,4,.82000000000000000000,205907333.33333333333333333333,SUCCESSFUL
A,7,7,.87333333333333333333,125252000.00000000000000000000,SUCCESSFUL
A,8,8,1.04666666666666666666,130894333.33333333333333333333,SUCCESSFUL
A,14,14,1.59666666666666666666,113903666.66666666666666666666,SUCCESSFUL
A,28,28,6.07333333333333333333,217790333.33333333333333333333,SUCCESSFUL
B,1,1,42.73333333333333333333,42736222000.00000000000000000000,SUCCESSFUL
B,2,2,45.43666666666666666666,22717359000.00000000000000000000,SUCCESSFUL
B,4,4,47.51333333333333333333,11878785666.66666666666666666666,SUCCESSFUL
B,7,7,53.68333333333333333333,7669203333.33333333333333333333,SUCCESSFUL
B,8,8,54.52333333333333333333,6815306666.66666666666666666666,SUCCESSFUL
B,14,14,79.95333333333333333333,5711636333.33333333333333333333,SUCCESSFUL
B,28,28,190.13000000000000000000,6814689666.66666666666666666666,SUCCESSFUL
C,1,1,205.90666666666666666666,205922743666.66666666666666666666,SUCCESSFUL
C,2,2,223.81666666666666666666,111925462666.66666666666666666666,SUCCESSFUL
C,4,4,213.30000000000000000000,53326118000.00000000000000000000,SUCCESSFUL
C,7,7,228.81666666666666666666,32688795666.66666666666666666666,SUCCESSFUL
C,8,8,234.44666666666666666666,29306250000.00000000000000000000,SUCCESSFUL
C,14,14,292.48333333333333333333,20891951666.66666666666666666666,SUCCESSFUL
C,28,28,571.82666666666666666666,20511183000.00000000000000000000,SUCCESSFUL
