Xstreams,Threads,Time(s),Time(nanos),Status
1,1,10.70666666666666666666,10707784594.66666666666666666666,SUCCESSFUL
1,2,10.70333333333333333333,10705149720.66666666666666666666,SUCCESSFUL
1,4,10.60000000000000000000,10598524612.33333333333333333333,SUCCESSFUL
1,7,10.70333333333333333333,10702981397.00000000000000000000,SUCCESSFUL
1,8,10.63000000000000000000,10628872905.00000000000000000000,SUCCESSFUL
1,14,10.78333333333333333333,10781900471.00000000000000000000,SUCCESSFUL
1,28,10.67000000000000000000,10669788999.66666666666666666666,SUCCESSFUL
2,1,21.86000000000000000000,10931561954.00000000000000000000,SUCCESSFUL
2,2,11.33333333333333333333,5668307911.33333333333333333333,SUCCESSFUL
2,4,11.37000000000000000000,5683736813.33333333333333333333,SUCCESSFUL
2,7,13.02333333333333333333,6512865772.33333333333333333333,SUCCESSFUL
2,8,11.51000000000000000000,5755512243.66666666666666666666,SUCCESSFUL
2,14,11.48333333333333333333,5742435914.66666666666666666666,SUCCESSFUL
2,28,11.99000000000000000000,5995325999.00000000000000000000,SUCCESSFUL
4,1,43.97000000000000000000,10992852345.33333333333333333333,SUCCESSFUL
4,2,22.93333333333333333333,5733577948.66666666666666666666,SUCCESSFUL
4,4,13.06666666666666666666,3267886832.66666666666666666666,SUCCESSFUL
4,7,14.58666666666666666666,3647403683.33333333333333333333,SUCCESSFUL
4,8,13.47000000000000000000,3368292880.66666666666666666666,SUCCESSFUL
4,14,14.77333333333333333333,3693950235.33333333333333333333,SUCCESSFUL
4,28,14.88000000000000000000,3720686437.00000000000000000000,SUCCESSFUL
7,1,79.87333333333333333333,11411057037.66666666666666666666,SUCCESSFUL
7,2,41.14333333333333333333,5877353552.00000000000000000000,SUCCESSFUL
7,4,23.73000000000000000000,3390024781.00000000000000000000,SUCCESSFUL
7,7,19.82333333333333333333,2831865530.33333333333333333333,SUCCESSFUL
7,8,27.23666666666666666666,3891962114.00000000000000000000,SUCCESSFUL
7,14,20.25333333333333333333,2893083456.33333333333333333333,SUCCESSFUL
7,28,22.36333333333333333333,3196373249.00000000000000000000,SUCCESSFUL
8,1,94.38333333333333333333,11798434947.66666666666666666666,SUCCESSFUL
8,2,48.65333333333333333333,6081758960.33333333333333333333,SUCCESSFUL
8,4,27.63000000000000000000,3453616866.66666666666666666666,SUCCESSFUL
8,7,22.59000000000000000000,2823869552.33333333333333333333,SUCCESSFUL
8,8,22.53333333333333333333,2816964843.33333333333333333333,SUCCESSFUL
8,14,22.98333333333333333333,2873640265.33333333333333333333,SUCCESSFUL
8,28,26.68666666666666666666,3336470708.00000000000000000000,SUCCESSFUL
14,1,175.24000000000000000000,12517948343.00000000000000000000,SUCCESSFUL
14,2,89.52666666666666666666,6394860330.33333333333333333333,SUCCESSFUL
14,4,50.54333333333333333333,3610397759.00000000000000000000,SUCCESSFUL
14,7,39.45666666666666666666,2818759400.00000000000000000000,SUCCESSFUL
14,8,40.98000000000000000000,2927251623.33333333333333333333,SUCCESSFUL
14,14,40.24666666666666666666,2875087781.66666666666666666666,SUCCESSFUL
14,28,45.12333333333333333333,3223420291.66666666666666666666,SUCCESSFUL
28,1,388.01000000000000000000,13873999007.00000000000000000000,SUCCESSFUL
28,2,198.65666666666666666666,7103624695.00000000000000000000,SUCCESSFUL
28,4,116.38333333333333333333,4162957556.00000000000000000000,SUCCESSFUL
28,7,90.04000000000000000000,3221820014.00000000000000000000,SUCCESSFUL
28,8,88.90333333333333333333,3181710414.66666666666666666666,SUCCESSFUL
28,14,84.79666666666666666666,3035397106.00000000000000000000,SUCCESSFUL
28,28,100.55000000000000000000,3599132426.33333333333333333333,SUCCESSFUL
